price_regime,observations,actual_mean,forecast_mean,MAE
< $50,2878,19.25659833217512,24.018253,7.159960047274186
$50–100,304,66.44174342105264,79.574715,28.116100647073047
$100–250,75,154.5788,135.20915,85.04324346516927
>= $250,36,572.04,361.32465,250.38601514180502
