Model,MAE,RMSE,R2
Naive: previous hour,11.621721834193744,47.13191743357875,0.5093636775928774
Naive: same hour yesterday,31.03613726085636,87.38289976774065,-0.6864846201792978
XGBoost,13.527421627014267,42.342608969318476,0.6040095541525174
